threshold,precision,recall,f1,accuracy
0.0,0.54,1.0,0.7,0.54
0.05,0.72,0.85,0.78,0.74
0.1,0.72,0.79,0.75,0.72
0.15,0.74,0.76,0.75,0.72
0.2,0.73,0.73,0.73,0.7
0.25,0.72,0.7,0.71,0.69
0.3,0.74,0.7,0.72,0.7
0.35,0.77,0.7,0.73,0.72
0.4,0.77,0.7,0.73,0.72
0.45,0.77,0.7,0.73,0.72
0.5,0.77,0.7,0.73,0.72
0.55,0.77,0.7,0.73,0.72
0.6,0.77,0.7,0.73,0.72
0.65,0.77,0.7,0.73,0.72
0.7,0.77,0.7,0.73,0.72
0.75,0.76,0.67,0.71,0.7
0.8,0.76,0.67,0.71,0.7
0.85,0.78,0.64,0.7,0.7
0.9,0.78,0.64,0.7,0.7
0.95,0.81,0.64,0.71,0.72
1.0,0.0,0.0,0.0,0.46
