threshold,precision,recall,f1,accuracy
0.0,0.54,1.0,0.7,0.54
0.05,0.56,1.0,0.72,0.57
0.1,0.58,0.97,0.73,0.61
0.15,0.6,0.97,0.74,0.64
0.2,0.64,0.97,0.77,0.69
0.25,0.71,0.97,0.82,0.77
0.3,0.73,0.97,0.83,0.79
0.35,0.74,0.97,0.84,0.8
0.4,0.79,0.91,0.85,0.82
0.45,0.81,0.91,0.86,0.84
0.5,0.83,0.88,0.85,0.84
0.55,0.83,0.88,0.85,0.84
0.6,0.82,0.85,0.84,0.82
0.65,0.84,0.79,0.81,0.8
0.7,0.82,0.7,0.75,0.75
0.75,0.88,0.7,0.78,0.79
0.8,0.9,0.55,0.68,0.72
0.85,1.0,0.48,0.65,0.72
0.9,1.0,0.3,0.47,0.62
0.95,1.0,0.09,0.17,0.51
1.0,0.0,0.0,0.0,0.46
