threshold,precision,recall,f1,accuracy
0.0,0.54,1.0,0.7,0.54
0.05,0.67,0.97,0.79,0.72
0.1,0.7,0.94,0.81,0.75
0.15,0.72,0.94,0.82,0.77
0.2,0.74,0.94,0.83,0.79
0.25,0.76,0.94,0.84,0.8
0.3,0.77,0.91,0.83,0.8
0.35,0.78,0.85,0.81,0.79
0.4,0.8,0.85,0.82,0.8
0.45,0.8,0.85,0.82,0.8
0.5,0.81,0.79,0.8,0.79
0.55,0.81,0.79,0.8,0.79
0.6,0.79,0.67,0.72,0.72
0.65,0.81,0.67,0.73,0.74
0.7,0.85,0.67,0.75,0.75
0.75,0.85,0.67,0.75,0.75
0.8,0.84,0.64,0.72,0.74
0.85,1.0,0.61,0.75,0.79
0.9,1.0,0.61,0.75,0.79
0.95,1.0,0.52,0.68,0.74
1.0,0.0,0.0,0.0,0.46
